Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Soft Seating Square Medium Style 2                      | SKU=LF 1484         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Soft Seating Square Large                               | SKU=LF 1485         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Soft Seating Rectangle Large                            | SKU=LF 1486         | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Play Animal Seating                                     | SKU=LF 0421         | Rs.24990.00 | [OK]
  [IMG] CREATED: Play Crocodile Seating                                  | SKU=LF 0422         | Rs.79990.00 | [OK]
  [IMG] CREATED: Play Shark Seating                                      | SKU=LF 0423         | Rs.24990.00 | [OK]
  [IMG] CREATED: Y-Connect Seat                                          | SKU=LF 960          | Rs. 6990.00 | [OK]
  [IMG] CREATED: Plastic Bench                                           | SKU=LF 136          | Rs. 4190.00 | [OK]
  [IMG] CREATED: Children Bed                                            | SKU=LF 507          | Rs. 3490.00 | [OK]
  [IMG] CREATED: Plastic Chair 24cm                                      | SKU=LF 106          | Rs.  390.00 | [OK]
  [IMG] CREATED: Plastic Chair 26cm                                      | SKU=LF 116          | Rs.  590.00 | [OK]
  [IMG] CREATED: Adjustable Plastic Chair 26-30cm                        | SKU=LF 186          | Rs. 1090.00 | [OK]
  [IMG] CREATED: Plastic Handle Chair 28cm                               | SKU=LF 146          | Rs.  990.00 | [OK]
  [IMG] CREATED: Metal Chair 30cm                                        | SKU=LF 176          | Rs. 1790.00 | [OK]
  [IMG] CREATED: Plastic Chair 31cm                                      | SKU=LF 126          | Rs.  690.00 | [OK]
  [IMG] CREATED: Plastic Chair 35cm                                      | SKU=LF 127          | Rs.  890.00 | [OK]
  [IMG] CREATED: Metal Handle Chair 35cm                                 | SKU=LF 156          | Rs. 1890.00 | [OK]
  [IMG] CREATED: Metal Handle Chair 36cm                                 | SKU=LF 166          | Rs. 2090.00 | [OK]
  [IMG] CREATED: Plastic Chair 45cm                                      | SKU=LF 129          | Rs. 1590.00 | [OK]
  [IMG] CREATED: Plastic Chair 40cm                                      | SKU=LF 128          | Rs. 1290.00 | [OK]
  [IMG] CREATED: Mini Home and Kitchen Playhouse                         | SKU=LF 801          | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Junior Living House                                     | SKU=LF 802          | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Chocolate Playhouse                                     | SKU=LF 901          | Rs.49990.00 | [OK]
  [IMG] CREATED: Playhouse Classic                                       | SKU=LF 902          | Rs.29990.00 | [OK]
  [IMG] CREATED: Royal Cottage                                           | SKU=LF 903          | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Classic Cottage                                         | SKU=LF 904          | Rs.    0.00 | [PRICE MISSING]
  [IMG] CREATED: Slide Large - LF 102                                    | SKU=LF 102          | Rs.39990.00 | [OK]
  [IMG] CREATED: Slide Medium - LF 103                                   | SKU=LF 103          | Rs.29990.00 | [OK]
  [IMG] CREATED: Slide Extra Large - LF 105                              | SKU=LF 105          | Rs.44990.00 | [OK]
  [IMG] CREATED: Multi Colour Gambola                                    | SKU=LF 101MC        | Rs.79990.00 | [OK]
  [IMG] CREATED: Chocolate Colour Gambola                                | SKU=LF 101CC        | Rs.79990.00 | [OK]
  [IMG] CREATED: Rabbit Slide                                            | SKU=LF 912          | Rs. 2790.00 | [OK]
  [IMG] CREATED: Junior Slide                                            | SKU=LF 911          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Rabbit Slide Big                                        | SKU=LF 912A         | Rs. 4790.00 | [OK]
  [IMG] CREATED: Castle Slide                                            | SKU=LF 915          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Space Slide                                             | SKU=LF 917          | Rs. 5990.00 | [OK]
